siteid,plotid,year,date,flow,dwm,precip_on_site
AUGLA,West,2008,2008-01-18,6.91033264,FD,0
AUGLA,West,2008,2008-01-19,6.913695293,FD,0
AUGLA,West,2008,2008-01-20,6.638117847,FD,0
AUGLA,West,2008,2008-01-21,7.191754698,FD,0
AUGLA,West,2008,2008-01-22,6.913935483,FD,0
AUGLA,West,2008,2008-01-23,6.918579147,FD,0
AUGLA,West,2008,2008-01-24,6.930668686,FD,0
AUGLA,West,2008,2008-01-25,6.895520953,FD,0
AUGLA,West,2008,2008-01-26,6.915696873,FD,0
AUGLA,West,2008,2008-01-27,6.913695293,FD,0
AUGLA,West,2008,2008-01-28,6.914896241,FD,0.508
AUGLA,West,2008,2008-01-29,6.914656051,FD,7.62
AUGLA,West,2008,2008-01-30,6.918499084,FD,0
AUGLA,West,2008,2008-01-31,6.914335799,FD,0
AUGLA,West,2008,2008-02-01,6.910973145,FD,3.556
AUGLA,West,2008,2008-02-02,6.915056367,FD,0
AUGLA,West,2008,2008-02-03,6.915296557,FD,0
AUGLA,West,2008,2008-02-04,6.9136152299999996,FD,1.016
AUGLA,West,2008,2008-02-05,6.91689782,FD,57.912
AUGLA,West,2008,2008-02-06,6.914095609,FD,49.022
AUGLA,West,2008,2008-02-07,6.916817757,FD,0
AUGLA,West,2008,2008-02-08,6.911213335,FD,0
AUGLA,West,2008,2008-02-09,6.914656051,FD,2.032
AUGLA,West,2008,2008-02-10,6.916577567,FD,0
AUGLA,West,2008,2008-02-11,6.913695293,FD,0
AUGLA,West,2008,2008-02-12,6.915776936,FD,0
AUGLA,West,2008,2008-02-13,6.913214914,FD,0
AUGLA,West,2008,2008-02-14,6.916257315,FD,0
AUGLA,West,2008,2008-02-15,6.9136152299999996,FD,1.27
AUGLA,West,2008,2008-02-16,6.914175672,FD,0.508
AUGLA,West,2008,2008-02-17,6.914175672,FD,11.938
AUGLA,West,2008,2008-02-18,6.934191466,FD,0
AUGLA,West,2008,2008-02-19,6.897762721,FD,0
AUGLA,West,2008,2008-02-20,6.912814598,FD,0
AUGLA,West,2008,2008-02-21,6.914656051,FD,0
AUGLA,West,2008,2008-02-22,6.915937062,FD,0
